gcalendar.gcalendar.templates.pages.success,Connection Success,Connection Réussie
gcalendar.gcalendar.templates.pages.success,Your connection request to Google Calendar was successfully accepted,Votre demande de connection au Calendrier Google a été acceptée
gcalendar.gcalendar.templates.pages.success,Back to Desk,Revenir au Bureau
